"","Cluster","Gene"
"NOC2L","1","NOC2L"
"HES4","2","HES4"
"ISG15","2","ISG15"
"UBE2J2","1","UBE2J2"
"RP3-395M20.12","2","RP3-395M20.12"
"TNFRSF14","1","TNFRSF14"
"RNF207","1","RNF207"
"PARK7","2","PARK7"
"ENO1","1","ENO1"
"RBP7","3","RBP7"
"PGD","3","PGD"
"AGTRAP","3","AGTRAP"
"MIIP","1","MIIP"
"TNFRSF8","1","TNFRSF8"
"TNFRSF1B","2","TNFRSF1B"
"SZRD1","1","SZRD1"
"NECAP2","1","NECAP2"
"SDHB","1","SDHB"
"PADI2","3","PADI2"
"PADI4","3","PADI4"
"UBR4","3","UBR4"
"CAPZB","2","CAPZB"
"HP1BP3","1","HP1BP3"
"CDC42","1","CDC42"
"C1QA","1","C1QA"
"C1QB","1","C1QB"
"LYPLA2","1","LYPLA2"
"RUNX3","1","RUNX3"
"RSRP1","1","RSRP1"
"TMEM50A","1","TMEM50A"
"SH3BGRL3","1","SH3BGRL3"
"CD52","2","CD52"
"HMGN2","1","HMGN2"
"RPS6KA1","1","RPS6KA1"
"NUDC","1","NUDC"
"TRNP1","1","TRNP1"
"SYTL1","1","SYTL1"
"WASF2","2","WASF2"
"RP1-159A19.4","1","RP1-159A19.4"
"FGR","2","FGR"
"THEMIS2","1","THEMIS2"
"RPA2","1","RPA2"
"DNAJC8","1","DNAJC8"
"LAPTM5","1","LAPTM5"
"PTP4A2","1","PTP4A2"
"EIF3I","1","EIF3I"
"HDAC1","1","HDAC1"
"MARCKSL1","2","MARCKSL1"
"BSDC1","1","BSDC1"
"PSMB2","1","PSMB2"
"THRAP3","1","THRAP3"
"LSM10","1","LSM10"
"CSF3R","3","CSF3R"
"C1orf122","1","C1orf122"
"SF3A3","1","SF3A3"
"PABPC4","1","PABPC4"
"CAP1","1","CAP1"
"SMAP2","2","SMAP2"
"PPCS","2","PPCS"
"YBX1","2","YBX1"
"ELOVL1","1","ELOVL1"
"C1orf228","3","C1orf228"
"RPS8","4","RPS8"
"PRDX1","1","PRDX1"
"TXNDC12","1","TXNDC12"
"CPT2","1","CPT2"
"C1orf123","1","C1orf123"
"L1TD1","1","L1TD1"
